neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,instant_bookable,host_identity_verified,distance_to_Brandenburg Gate,distance_to_Reichstag,distance_to_Museum Island,distance_to_Berlin Wall Memorial,distance_to_German Historical Museum,minimum_distance,bedrooms,beds,accommodates,maximum_nights
Tempelhof - Schöneberg,Lichtenrade,52.35765223245062,13.399097844958304,Entire home/apt,88,1,0,0.0,1,6,0,1,1,17.709318481127664,17.979699070864974,17.69282147019231,19.76068267936083,17.81393244198525,17.69,2,3,5,1125
Marzahn - Hellersdorf,Mahlsdorf,52.52006,13.65956,Entire home/apt,60,2,126,2.54,2,163,18,0,1,19.132844582892307,19.2353861442605,17.466227439306195,18.357402742998957,18.23224101688728,17.47,1,2,2,100
Steglitz - Zehlendorf,Zehlendorf  Südwest,52.41232,13.20715,Entire home/apt,36,8,29,0.63,1,6,6,1,1,16.378917299312604,16.49011004696761,17.62674308763362,18.48094004882779,17.132960219188448,16.38,1,1,2,120
Steglitz - Zehlendorf,Drakestr.,52.40214368499976,13.273865370168968,Entire home/apt,120,1,0,0.0,1,257,0,0,1,14.531116251296142,14.709801013519938,15.445405431900829,16.780038403789774,15.120552004666589,14.53,2,2,6,365
Steglitz - Zehlendorf,Drakestr.,52.41015,13.29207,Entire home/apt,110,5,1,0.03,8,160,0,0,1,13.166808749454859,13.356226136090196,14.020177125065484,15.425668022328786,13.723685538292761,13.17,1,2,4,1125
Pankow,Prenzlauer Berg Südwest,52.53471,13.4181,Entire home/apt,150,92,147,0.91,1,350,0,0,1,3.420956192233686,3.360360325201204,2.278282387313364,1.8934253045259775,2.642234564435252,1.89,2,2,6,1125
Tempelhof - Schöneberg,Schöneberg-Nord,52.49884,13.3494,Private room,29,7,27,0.24,1,257,0,1,1,2.7335018126044974,2.8559941897178645,4.102833924780537,4.899035117879041,3.516378275659243,2.73,1,2,2,10
Steglitz - Zehlendorf,Drakestr.,52.40562,13.28431,Entire home/apt,300,3,8,0.22,1,0,3,0,1,13.854612098685179,14.040123952555648,14.729383292922606,16.110389338036267,14.423274149545216,13.85,7,16,16,1125
Pankow,Helmholtzplatz,52.54301,13.41534,Private room,33,1,293,1.84,1,0,0,0,1,3.91863303987922,3.797384585872923,3.0645702971165005,1.916455035951314,3.26860023990872,1.92,4,7,7,14
Pankow,Pankow Zentrum,52.57051,13.39872,Entire home/apt,280,2,150,1.15,1,347,10,0,1,6.201147304003868,5.972610405443501,5.99949523543758,3.9767165640955864,5.903868590756902,3.98,0,1,1,1125
Pankow,Prenzlauer Berg Südwest,52.53269,13.41805,Entire home/apt,180,6,8,0.09,1,63,0,0,1,3.2882469370777057,3.24327937338946,2.080846492826485,1.9091958287839892,2.483318274522389,1.91,4,5,8,29
Pankow,Prenzlauer Berg Nordwest,52.54813,13.40366,Entire home/apt,70,93,26,0.17,4,220,0,0,1,3.956999855677011,3.7754352010191887,3.505309946488884,1.708451399384156,3.4973707477218774,1.71,1,3,5,365
Charlottenburg-Wilm.,Neue Kantstraße,52.499,13.30171,Entire home/apt,50,60,28,0.23,1,72,3,0,1,5.510491777086255,5.508740402708948,7.107531355626172,7.230018383081672,6.408304409343853,5.51,3,7,12,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49351,13.42124,Private room,60,2,522,3.86,2,60,41,0,1,3.8888088163902093,4.142822412758646,2.8767110572280554,5.090274091921539,3.382449096673262,2.88,1,1,1,180
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50312,13.43508,Entire home/apt,90,60,48,0.32,2,46,0,0,1,4.156654897948697,4.354044313388073,2.685379959367177,4.6886857413089436,3.4024680400381446,2.69,1,1,1,5
Neukölln,Reuterstraße,52.49419,13.42166,Entire home/apt,25,92,298,1.95,1,106,5,0,1,3.8619116636868114,4.113502291903393,2.8223659161685197,5.0335117891384,3.3403293072897755,2.82,0,1,2,365
